airport_code,city,state,metro_area,facility_name,longitude,latitude,air_service,cbsa_code,cbsa_type
ROW,Roswell,NM,Roswell NM,Roswell Industrial Air Center,-104.53056,33.301559999999995,1,40740.0,2
RSH,Russian Mission,AK,,Russian Mission,-161.31948,61.779680000000006,1,,0
RSJ,Rosario (Eastsound),WA,,Rosario SPB,-122.86796000000001,48.64566,1,,0
RST,Rochester,MN,Rochester MN,Rochester International,-92.499,43.90722,1,40340.0,1
RSW,Fort Myers,FL,Cape Coral-Fort Myers FL,Southwest Florida International,-81.75516999999999,26.536170000000002,1,15980.0,1
RUT,Rutland (N Clarendon),VT,Rutland VT,Rutland State,-72.94962,43.52991,1,40860.0,2
SAF,Santa Fe,NM,Santa Fe NM,Santa Fe Muni,-106.08814,35.61678,1,42140.0,1
SAN,San Diego,CA,San Diego-Carlsbad CA,San Diego Intl - Lindbergh Field,-117.18966,32.73356,1,41740.0,1
SAT,SanAntonio,TX,San Antonio-New Braunfels TX,San Antonio Intl,-98.46978,29.533690000000004,1,41700.0,1
SAV,Savannah,GA,Savannah GA,Savannah/Hilton Head Intl,-81.20214,32.12758,1,42340.0,1
SBA,Goleta,CA,Santa Maria-Santa Barbara CA,Santa Barbara Municipal,-119.84037,34.42621,1,42200.0,1
SBN,South Bend,IN,South Bend-Mishawaka IN-MI,South Bend Regional Airport,-86.31725,41.708659999999995,1,43780.0,1
SBP,San Luis Obispo,CA,San Luis Obispo-Paso Robles-Arroyo Grande CA,San Luis Obispo County Regional,-120.64187,35.23683,1,42020.0,1
SBY,Salisbury,MD,Salisbury MD-DE,Salisbury-Ocean City Wicomico Regional,-75.51029,38.34053,1,41540.0,1
SCC,Prudhoe Bay/Deadhorse,AK,,Deadhorse,-148.46516,70.19476,1,,0
SCE,State College,PA,State College PA,University Park,-77.84869,40.84928,1,44300.0,1
SCK,Stockton,CA,Stockton-Lodi CA,Stockton Metropolitan Airport,-121.23831000000001,37.89417,1,44700.0,1
SCM,Scammon Bay,AK,,Scammon Bay,-165.57375,61.84454,1,,0
SDF,Louisville,KY,Louisville/Jefferson County KY-IN,Louisville Intl-Standiford Field,-85.736,38.17439,1,31140.0,1
SDP,Sand Point,AK,,Bob Baker Memorial,-160.51769,55.31503000000001,1,,0
SDY,Sidney,MT,,Sidney-Richland Muni,-104.19255,47.70686,1,,0
SEA,Seattle,WA,Seattle-Tacoma-Bellevue WA,Seattle-Tacoma Intl,-122.30931000000001,47.44898,1,42660.0,1
SFB,Sanford,FL,Orlando-Kissimmee-Sanford FL,Orlando Sanford,-81.23749000000001,28.77764,1,36740.0,1
SFO,San Francisco,CA,San Francisco-Oakland-Hayward CA,San Francisco Intl,-122.37489,37.618970000000004,1,41860.0,1
SGF,Springfield,MO,Springfield MO,Springfield-Branson Regl,-93.38686,37.24433,1,44180.0,1
SGU,St George,UT,St. George UT,St George Muni,-113.59306000000001,37.090579999999996,1,41100.0,1
SGY,Skagway,AK,,Skagway,-135.31566,59.46006,1,,0
SHD,Staunton/Waynesboro/Harrisonburg,VA,Staunton-Waynesboro VA,Shenandoah Valley Regl,-78.89644,38.26384,1,44420.0,1
SHG,Shungnak,AK,,Shungnak,-157.1624,66.88808,1,,0
SHH,Shishmaref,AK,,Shishmaref/New,-166.08956,66.24956999999999,1,,0
SHR,Sheridan,WY,Sheridan WY,Sheridan County,-106.98028000000001,44.76919,1,43260.0,2
SHV,Shreveport,LA,Shreveport-Bossier City LA,Shreveport Regional,-93.8256,32.44663,1,43340.0,1
SHX,Shageluk,AK,,Shageluk,-159.56906,62.695119999999996,1,,0
SIT,Sitka,AK,,Sitka Rocky Gutierrez Airport,-135.36161,57.04714,1,,0
SJC,San Jose,CA,San Jose-Sunnyvale-Santa Clara CA,Norman Y Mineta San Jose Intl,-121.92901,37.36186,1,41940.0,1
SJT,San Angelo,TX,San Angelo TX,San Angelo Regional/Mathis Field,-100.49631,31.35775,1,41660.0,1
SKK,Shaktoolik,AK,,Shaktoolik,-161.22388999999998,64.37111,1,,0
SLC,Salt Lake City,UT,Salt Lake City UT,Salt Lake City International Airport,-111.981,40.7859,1,41620.0,1
SLK,Saranac Lake,NY,Malone NY,Adirondack Regl,-74.20619,44.38531,1,31660.0,2
SLN,Salina,KS,Salina KS,Salina Muni,-97.6506,38.79148,1,41460.0,2
SLQ,Sleetmute,AK,,Sleetmute,-157.16585,61.700509999999994,1,,0
