"AIRPORT_CODE","CITY","STATE","METRO_AREA","FACILITY_NAME","LONGITUDE","LATITUDE","AIR_SERVICE","CBSA_CODE","CBSA_TYPE",
"","Greensburg","PA","Pittsburgh PA","Amtrak Station",-79.547280,40.304850,0,38300,1,
"","Connellsville","PA","Pittsburgh PA","Amtrak Station",-79.592600,40.018100,0,38300,1,
"","Waynesburg","PA","","",-80.194400,39.881700,3,,0,
"","Castle Shannon","PA","Pittsburgh PA","Smith Road",-80.028500,40.356900,0,38300,1,
"","Castle Shannon","PA","Pittsburgh PA","St Annes",-80.029300,40.360900,0,38300,1,
"","Castle Shannon","PA","Pittsburgh PA","Overbrook Junction",-80.026300,40.365200,0,38300,1,
"","Castle Shannon","PA","Pittsburgh PA","Memorial Hall",-80.015200,40.367200,0,38300,1,
"","Castle Shannon","PA","Pittsburgh PA","Martin Villa",-80.028500,40.363800,0,38300,1,
"","Castle Shannon","PA","Pittsburgh PA","Killarney",-80.006400,40.373700,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","McNeilly",-80.003800,40.377900,0,38300,1,
"","Castle Shannon","PA","Pittsburgh PA","Willow",-80.026300,40.365200,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Arlington",-80.033400,40.369400,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","",-79.926854,40.453610,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Pittsburgh International",-80.232870,40.491470,1,38300,1,
"","Mt Lebanon","PA","Pittsburgh PA","Mt Lebanon",-80.043900,40.383200,0,38300,1,
"","Castle Shannon","PA","Pittsburgh PA","Castle Shannon",-80.030500,40.369500,0,38300,1,
"","Mt Lebanon","PA","Pittsburgh PA","Poplar",-80.038800,40.375400,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Dawn",-80.010900,40.413000,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Traymore",-80.012400,40.411700,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","under David L Lawrence convention center",-79.996029,40.444944,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","curbside bus stop",-79.987350,40.449127,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Penn Station",-79.993260,40.445040,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Wood Street",-79.999200,40.442600,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Penn Station",-79.993300,40.445000,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Penn Station",-79.993260,40.445040,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Steel Plaza",-79.995900,40.440700,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Station Square",-80.004000,40.432200,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","First Avenue",-79.997500,40.436000,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","",-79.914190,40.445160,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Pennant",-80.014700,40.411500,0,38300,1,
"","Dormont","PA","Pittsburgh PA","Dormont Junction",-80.040900,40.391700,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Neeld",-80.031100,40.402700,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Hampshire",-80.024800,40.410600,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Fallowfield",-80.023800,40.411200,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Westfield",-80.019100,40.409900,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Coast",-80.024900,40.408700,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Boustead",-80.029800,40.405700,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Belasco",-80.027000,40.407200,0,38300,1,
"","Dormont","PA","Pittsburgh PA","Stevenson",-80.033800,40.399400,0,38300,1,
"","Dormont","PA","Pittsburgh PA","Potomac",-80.036200,40.397600,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Shiras",-80.030400,40.403900,0,38300,1,
"","Dormont","PA","Pittsburgh PA","Kelton",-80.039300,40.395400,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","",-79.948042,40.441032,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","42nd St & Butler St",-79.960497,40.470253,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Third Ave & Wood St",-80.001860,40.439030,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","10th St & Penn Ave (David L. Lawrence Convention Center)",-79.995798,40.444665,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Forbes Ave & Market Square",-80.003080,40.440877,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Liberty Ave & Stanwix St.",-80.004679,40.441326,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","S Whitfield St & Baum Blvd",-79.926302,40.460982,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","12th St & Penn Ave",-79.992380,40.445844,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Shady Ave and Ellsworth Ave",-79.922023,40.458972,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Penn Ave & Putnam St -- Bakery Square",-79.915248,40.455821,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Alder St & S Highland Ave",-79.924920,40.457415,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Maryland Ave & Ellsworth Ave",-79.930962,40.456280,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Liberty Ave & Baum Blvd",-79.939362,40.456505,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Ivy St & Walnut St",-79.932324,40.451770,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","S Euclid Ave & Centre Ave",-79.929123,40.458933,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Ellsworth Ave & N Neville St",-79.947401,40.448419,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Boulevard of the Allies & Parkview Ave",-79.951877,40.434338,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Federal St & E North Ave",-80.006346,40.455090,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Fifth Ave & S Dithridge St",-79.950881,40.446744,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Schenley Dr at Schenley Plaza (Carnegie Library Main)",-79.951479,40.442398,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Bigelow Blvd & 5th Ave",-79.955025,40.444708,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Fifth Ave & S Bouquet St",-79.957604,40.442325,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Zulema St & Coltart Ave",-79.956942,40.435986,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Atwood St & Bates St",-79.953670,40.437987,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Penn Ave & N Fairmount St",-79.933188,40.464443,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Coltart Ave & Forbes Ave",-79.960179,40.438876,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Liberty Ave & S Milvalle Ave --West Penn Hospital",-79.945548,40.459812,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","37th St & Butler St",-79.964628,40.466103,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Taylor St & Liberty Ave",-79.950867,40.462769,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","21st St & Penn Ave",-79.983543,40.452124,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Isabella St & Federal St (PNC Park)",-80.003964,40.447571,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","17th St & Penn Ave",-79.985893,40.449631,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Centre Ave & Kirkpatrick St",-79.976911,40.445236,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","S 27th St & Tunnel Blvd (Southside Works)",-79.965228,40.428658,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","S 25th St & E Carson St",-79.969799,40.428020,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","S 22nd St & E Carson St",-79.974559,40.428576,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","S 18th St & Sidney St",-79.980684,40.429338,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Ridge Ave & Brighton Rd (CCAC)",-80.013204,40.450595,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","S 12th St & E Carson St",-79.986358,40.428661,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","First Ave & Smithfield St (Art Institute)",-80.000375,40.437200,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Stevenson St & Forbes Ave",-79.986695,40.437643,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Centre Ave & Consol Energy Center",-79.988636,40.440368,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","S Negley Ave & Baum Blvd",-79.933483,40.458714,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Ross St & Sixth Ave (Steel Plaza T Station)",-79.995084,40.440193,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Fort Duquesne Blvd & 7th St",-80.000831,40.444777,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Forbes Ave & Grant St",-79.997592,40.438882,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","First Ave & B St (T Station)",-79.997102,40.435887,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","North Shore Trail & Fort Duquesne Bridge",-80.008882,40.445834,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Palm Garden",-80.011900,40.416400,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","South Bank",-79.998300,40.393100,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Denise",-79.997700,40.397300,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Bon Air",-80.003200,40.408000,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","Boggs",-80.009600,40.416100,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","South Hills Junction",-80.007900,40.420000,0,38300,1,
"","Pittsburgh","PA","Pittsburgh PA","",-79.954417,40.465893,0,38300,1,
"","Monroeville","PA","Pittsburgh PA","curbside bus stop",-79.767075,40.438812,0,38300,1,
"","Monroeville","PA","Pittsburgh PA","",-79.761432,40.437972,0,38300,1,
"","South Park","PA","Pittsburgh PA","Library",-80.022100,40.286600,0,38300,1,
"","Moon","PA","Pittsburgh PA","",-80.198975,40.503360,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","Sandy Creek",-80.030500,40.296900,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","Highland",-80.039200,40.348000,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","Munroe",-80.029600,40.322900,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","Dorchester",-80.047800,40.339500,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","Mine 3",-80.028400,40.350500,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","Center",-80.031100,40.337100,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","Mesta",-80.030700,40.331000,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","Casswell",-80.034200,40.350000,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","Lytle",-80.030900,40.333300,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","Bethel Village",-80.046200,40.344100,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","Washington Junction",-80.027200,40.353500,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","Logan",-80.033000,40.311100,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","Beagle",-80.030300,40.301200,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","South Park",-80.030400,40.328100,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","Lindermer",-80.028900,40.342000,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","South Hills Village",-80.052300,40.340600,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","Latimer",-80.026900,40.319600,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","West Library",-80.030800,40.293000,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","Sarah",-80.029400,40.315200,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","Kings School",-80.032700,40.308100,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","Santa Barbara",-80.043400,40.344100,0,38300,1,
"","Bethel Park","PA","Pittsburgh PA","Hillcrest",-80.029400,40.346200,0,38300,1,
"","Vale","OR","Ontario OR-ID","Sinclair station",-117.248030,43.982270,3,36620,2,
"","Vale","OR","Ontario OR-ID","",-117.285385,44.006805,3,36620,2,
"","Vale","OR","Ontario OR-ID","",-117.248000,43.982100,3,36620,2,
"","Ontario","OR","Ontario OR-ID","Malheur Council Aging Building",-116.953790,44.024790,3,36620,2,
"","Juntura","OR","Ontario OR-ID","",-118.079650,43.746475,3,36620,2,
"","Juntura","OR","Ontario OR-ID","Oasis Café",-118.080009,43.744992,3,36620,2,
"","Harper","OR","Ontario OR-ID","",-117.603065,43.868874,3,36620,2,
"","Drewsey","OR","","Intersection of Hwy 20 and Drewsey Rd",-118.357049,43.778201,3,,0,
"","La Grande","OR","La Grande OR","Greyhound Bus Station",-118.079000,45.327100,3,29260,2,
"","Baker City","OR","","Baker Truck Coral",-117.814000,44.781500,3,,0,
"","Pendleton","OR","Hermiston-Pendleton OR","Pendleton Market",-118.764275,45.673058,0,25840,2,
"","Sisters","OR","Bend-Redmond OR","Ski Inn",-121.546934,44.291353,0,13460,1,
"","Sisters","OR","Bend-Redmond OR","",-121.480950,44.320270,0,13460,1,
"","Riley","OR","","Post Office",-119.503896,43.542137,3,,0,
"","Redmond","OR","Bend-Redmond OR","Redmond Airport",-121.165000,44.253400,1,13460,1,
"","La Pine","OR","Bend-Redmond OR","Shell Gas Station",-121.499000,43.674400,0,13460,1,
"","Chemult","OR","Klamath Falls OR","Palmer/Kranz Street and Depot Street",-122.132000,43.168200,0,28900,2,
"","Chemult","OR","Klamath Falls OR","Amtrak Station",-121.782800,43.216550,0,28900,2,
"","Burns","OR","","Reids Country Store",-119.064278,43.583646,3,,0,
"","Burns","OR","","Hwy 20 and Crane-Buchanan Rd intersection",-118.931870,43.614044,3,,0,
"","Brothers","OR","Bend-Redmond OR","Brothers Stage Stop",-120.643776,43.824867,0,13460,1,
"","Brothers","OR","Bend-Redmond OR","",-120.229965,43.669235,0,13460,1,
"","Brothers","OR","Bend-Redmond OR","",-120.603097,43.813358,0,13460,1,
"","Sunriver","OR","Bend-Redmond OR","Shell gas station",-121.435885,43.866643,0,13460,1,
"","Bend","OR","Bend-Redmond OR","Hawthorne Station",-121.301300,44.058200,0,13460,1,
"","Bend","OR","Bend-Redmond OR","Riverhouse Resort",-121.239000,44.188000,0,13460,1,
"","Klamath Falls","OR","Klamath Falls OR","Klamath Falls Airport",-121.744687,42.164022,1,28900,2,
"","Klamath Falls","OR","Klamath Falls OR","",-121.788400,42.228516,0,28900,2,
"","Klamath Falls","OR","Klamath Falls OR","Southwest Point Bus Stop",-121.773000,42.224700,0,28900,2,
"","Klamath Falls","OR","Klamath Falls OR","Amtrak Station",-121.770920,42.225880,0,28900,2,
"","Klamath Falls","OR","Klamath Falls OR","Amtrak Station",-121.770920,42.225880,0,28900,2,
"","Selma","OR","Grants Pass OR","",-123.596070,42.271840,3,24420,1,
"","Selma","OR","Grants Pass OR","",-123.616000,42.279400,3,24420,1,
"","Grants Pass","OR","Grants Pass OR","Greyhound Bus Station",-123.298000,42.433600,3,24420,1,
"","Gold Hill","OR","Medford OR","",-123.077774,42.456966,0,32780,1,
"","Gold Hill","OR","Medford OR","Rays Market",-123.054000,42.431800,0,32780,1,
"","Cave Junction","OR","Grants Pass OR","",-123.633340,42.140186,3,24420,1,
"","Cave Junction","OR","Grants Pass OR","Junction Inn",-123.654000,42.148100,3,24420,1,
"","Ashland","OR","Medford OR","",-122.633406,42.158482,0,32780,1,
"","Ashland","OR","Medford OR","Lithia Way Overpass at Water St.",-122.715229,42.198536,0,32780,1,
"","Ashland","OR","Medford OR","Safeway",-122.707000,42.192800,0,32780,1,
"","Medford","OR","Medford OR","Providence 1698 E. McAndrews",-122.864289,42.340788,0,32780,1,
"","White City","OR","Medford OR","Cascade Bingo",-122.851070,42.424377,0,32780,1,
"","White City","OR","Medford OR","",-122.850716,42.437010,0,32780,1,
"","White City","OR","Medford OR","7800 Pacific Avenue",-122.883157,42.429682,0,32780,1,
"","White City","OR","Medford OR","Highway 62 & Ave. A",-122.850723,42.425441,0,32780,1,
"","Medford","OR","Medford OR","Rogue Valley International - Medford",-122.874000,42.368900,1,32780,1,
"","Medford","OR","Medford OR","Front St",-122.871508,42.324580,0,32780,1,
"","Medford","OR","Medford OR","Oakdale & West 5th",-122.879306,42.325617,0,32780,1,
"","Medford","OR","Medford OR","Greyhound Bus Station",-122.872000,42.324200,0,32780,1,
"","Roseburg","OR","Roseburg OR","Buy 2 Arco",-123.335639,43.212896,3,40700,2,
"","Reedsport","OR","Roseburg OR","Jitterbug Java",-124.112100,43.697700,3,40700,2,
"","Florence","OR","Eugene OR","",-124.037283,44.016217,0,21660,1,
"","Florence","OR","Eugene OR","",-124.107000,43.968900,0,21660,1,
"","Coos Bay","OR","Coos Bay OR","Coos Bay Bus Station",-124.213425,43.369373,0,18300,2,
"","Brookings","OR","Brookings OR","Rays Market",-124.289690,42.054890,3,15060,2,
"","Eugene","OR","Eugene OR","University of Oregon",-123.073510,44.043297,0,21660,1,
"","Eugene","OR","Eugene OR","curbside bus stop",-123.143272,44.054054,0,21660,1,
"","Eugene","OR","Eugene OR","",-123.068870,44.080284,0,21660,1,
"","Eugene","OR","Eugene OR","",-123.090000,44.049000,0,21660,1,
"","Eugene","OR","Eugene OR","Amtrak station",-123.093000,44.054700,0,21660,1,
"","Eugene","OR","Eugene OR","Amtrak Station",-123.091840,44.055390,0,21660,1,
"","Toledo","OR","Newport OR","",-123.930430,44.629208,3,35440,2,
"","Toledo","OR","Newport OR","Dairy Queen",-123.949000,44.632100,3,35440,2,
"","Philomath","OR","Corvallis OR","",-123.410174,44.551130,3,18700,1,
"","Philomath","OR","Corvallis OR","",-123.367000,44.539800,3,18700,1,
"","Newport","OR","Newport OR","Greyhound Bus Station",-124.061000,44.627400,3,35440,2,
"","OBrien","OR","Grants Pass OR","Obrien Market",-123.729000,42.018600,3,24420,1,
"","Corvallis","OR","Corvallis OR","Greyhound Bus Station",-123.262000,44.565100,3,18700,1,
"","Blodgett","OR","Corvallis OR","Country Store",-123.519400,44.597100,3,18700,1,
"","Burnt Woods","OR","Newport OR","Burnt Woods Store",-123.622800,44.603900,3,35440,2,
"","Albany","OR","Albany OR","",-123.066280,44.625847,3,10540,1,
"","Albany","OR","Albany OR","Amtrak station",-123.104000,44.629900,3,10540,1,
"","Albany","OR","Albany OR","Amtrak Station",-123.099650,44.630760,3,10540,1,
"","Salem","OR","Salem OR","Greyhound Bus Station",-123.033000,44.943100,3,41420,1,
"","Salem","OR","Salem OR","Amtrak Station",-123.026240,44.932170,3,41420,1,
"","Salem","OR","Salem OR","Amtrak Station",-123.026240,44.932170,3,41420,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","SE Holgate Blvd",-122.566400,45.490100,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Lents Town Center/SE Foster Rd",-122.567300,45.479500,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","SE Powell Blvd",-122.568400,45.496300,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","SE Flavel St",-122.566600,45.467900,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","SW Moody at Aerial Tram Terminal",-122.671643,45.499136,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","E 148th Ave",-122.510700,45.522200,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","E 181st Ave",-122.477100,45.521900,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","E 162nd Ave",-122.496500,45.522100,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","E 122nd Ave",-122.537800,45.522400,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Rockwood/E 188th Ave",-122.470100,45.520100,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","NE Sandy at 16th",-122.649768,45.524406,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","NE Multnomah at Grand",-122.659741,45.531460,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","NE Multnomah at 9th",-122.657461,45.531409,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","NE Holladay at MLK",-122.662836,45.529903,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","NE Broadway at 12th",-122.653631,45.534968,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","NE 22nd at Burnside",-122.643411,45.522972,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","NE 11th at Holladay Park",-122.654669,45.530278,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","NE Glisan at 24th",-122.641632,45.526494,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Rose Quarter Transit Center",-122.665700,45.530000,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","NE 7th Ave",-122.658600,45.530000,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Convention Center",-122.661700,45.530000,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Lloyd Center/NE 11th Ave",-122.654600,45.530000,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","E 172nd Ave",-122.486100,45.522200,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","N Williams at Fremont",-122.666760,45.547592,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","N Russell at Interstate",-122.676971,45.541078,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","N Morris at Williams",-122.666784,45.544715,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","N Mississippi at Beech",-122.675657,45.549985,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","N Failing at Williams",-122.666866,45.550763,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","NE Wheeler at Multnomah",-122.665888,45.530866,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Interstate/Rose Quarter",-122.667300,45.529800,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Albina/Mississippi",-122.675800,45.539800,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Overlook Park",-122.681100,45.549600,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Sunset Transit Center",-122.782325,45.510617,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Sunset Transit Center",-122.781000,45.510300,0,38900,1,
"","Tigard","OR","Portland-Vancouver-Hillsboro OR-WA","",-122.786010,45.449467,0,38900,1,
"","Tigard","OR","Portland-Vancouver-Hillsboro OR-WA","",-122.751000,45.439900,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Washington Park",-122.717200,45.510700,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Gateway/NE 99th Ave Transit Center",-122.561900,45.529500,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Parkrose/Sumner Transit Center",-122.565600,45.559000,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Mt Hood Ave",-122.563700,45.574600,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Cascades",-122.558000,45.572300,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","E 102nd Ave",-122.558300,45.522700,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Portland International Airport",-122.592100,45.586700,1,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","N Skidmore at Williams",-122.666878,45.554632,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","N Killingsworth at Albina",-122.674746,45.562825,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","N Vancouver at Alberta",-122.668522,45.559410,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","N Willamette at Interstate",-122.682588,45.561863,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","N Mississippi at N Skidmore",-122.675541,45.554585,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","N Prescott at Interstate",-122.681861,45.555222,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Delta Park/Vanport",-122.686800,45.595400,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Kenton/N Denver Ave",-122.686700,45.584000,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","N Lombard Transit Center",-122.682200,45.577100,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Rosa Parks",-122.682300,45.569900,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","N Killingsworth St",-122.682300,45.562700,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","N Prescott St",-122.682400,45.555400,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","Expo Center",-122.685500,45.605600,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","SE Main St",-122.564300,45.514500,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","SE Division St",-122.566600,45.503400,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","SE Ladd at Hawthorne",-122.653349,45.512081,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","SE Hawthorne at 20th",-122.645426,45.512222,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","SE Belmont at 33rd",-122.630751,45.516496,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","SE Alder at 6th",-122.660052,45.517898,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","SE 9th at Belmont",-122.656632,45.516333,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","SE 7th at Burnside",-122.658751,45.522698,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","SE 2nd Pl at Tilikum Way",-122.663337,45.506241,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","SE 29th at Hawthorne",-122.636069,45.512121,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","SE 34th at Hawthorne",-122.629480,45.511907,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","SE 37th at Hawthorne",-122.625824,45.511948,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","SE Belmont at 20th",-122.646045,45.516361,0,38900,1,
"","Portland","OR","Portland-Vancouver-Hillsboro OR-WA","SE 29th at Stark",-122.635992,45.519362,0,38900,1,
