"AIRPORT_CODE","CITY","STATE","METRO_AREA","FACILITY_NAME","LONGITUDE","LATITUDE","AIR_SERVICE","CBSA_CODE","CBSA_TYPE",
"","Stevens Point","WI","Stevens Point WI","Olympic Family Restaurant",-89.575000,44.532800,3,44620,2,
"","Stevens Point","WI","Stevens Point WI","UW-Stevens Point Health Enhancement Center",-89.570300,44.528800,3,44620,2,
"","Rothschild","WI","Wausau WI","Lamers Bus Lines",-89.635000,44.854800,0,48140,1,
"","Abbotsford","WI","Wausau WI","Super 29 Shell",-90.315000,44.912300,0,48140,1,
"","Wausau","WI","Wausau WI","Wausau Transit Center",-89.625000,44.959300,0,48140,1,
"","Green Bay","WI","Green Bay WI","",-87.932340,44.472420,0,24580,1,
"","Green Bay","WI","Green Bay WI","Green Bay Transit",-88.002000,44.516600,0,24580,1,
"","Northport","WI","","Gills Rock",-87.021660,45.290000,3,,0,
"","Detroit Harbor","WI","","Washington Island",-86.937540,45.339100,3,,0,
"","Manitowoc","WI","Manitowoc WI","Manitowoc Shell",-87.701000,44.077800,3,31820,2,
"","Manitowoc","WI","Manitowoc WI","SS Badger Dock",-87.652030,44.090600,3,31820,2,
"","Peshtigo","WI","Marinette WI-MI","",-87.760560,45.055202,3,31940,2,
"","Peshtigo","WI","Marinette WI-MI","",-87.761000,45.054400,3,31940,2,
"","Oconto","WI","Green Bay WI","",-87.900530,44.892080,0,24580,1,
"","Oconto","WI","Green Bay WI","Shell Gas Station",-87.887000,44.880000,0,24580,1,
"","Marinette","WI","Marinette WI-MI","Marinette Shell/Taco Bell",-87.665000,45.079100,3,31940,2,
"","Wisconsin Dells","WI","Baraboo WI","Travel Mart",-89.798000,43.623000,3,12660,2,
"","Wisconsin Dells","WI","Madison WI","Amtrak Station",-89.775080,43.624790,0,31540,1,
"","Westfield","WI","","Westfield Mobil",-89.485700,43.889900,3,,0,
"","Waupun","WI","Beaver Dam WI","",-88.732587,43.632872,3,13180,2,
"","Waupun","WI","Fond du Lac WI","End of Trail Candy Shop",-88.718000,43.633400,3,22540,1,
"","Columbus","WI","Madison WI","Columbus Amtrak",-89.012700,43.340600,0,31540,1,
"","Columbus","WI","Madison WI","Amtrak Station",-89.012480,43.340670,0,31540,1,
"","Beaver Dam","WI","Beaver Dam WI","Crossroads Shell",-88.817700,43.455900,3,13180,2,
"","Baraboo","WI","Baraboo WI","M & G Travel Mart Shell",-89.768700,43.475700,3,12660,2,
"","Portage","WI","Madison WI","Portage Amtrak",-89.466600,43.546900,0,31540,1,
"","Portage","WI","Madison WI","Amtrak Station",-89.469140,43.546610,0,31540,1,
"","Platteville","WI","Platteville WI","Markee Pioneer Student Center",-90.493100,42.733800,3,38420,2,
"","Platteville","WI","Platteville WI","Ashleys Market/Convenience Store",-90.437100,42.732000,3,38420,2,
"","Madison","WI","Madison WI","",-89.428970,43.077263,0,31540,1,
"","Madison","WI","Madison WI","Dutch Mill Park & Ride",-89.305000,43.047500,0,31540,1,
"","Madison","WI","Madison WI","",-89.399000,43.073400,0,31540,1,
"","Madison","WI","Madison WI","",-89.385280,43.075720,0,31540,1,
"","Madison","WI","Madison WI","",-89.372980,43.077090,0,31540,1,
"","Madison","WI","Madison WI","",-89.381730,43.072550,0,31540,1,
"","Madison","WI","Madison WI","",-89.394290,43.067370,0,31540,1,
"","Madison","WI","Madison WI","",-89.387920,43.073690,0,31540,1,
"","Madison","WI","Madison WI","",-89.392580,43.075310,0,31540,1,
"","Madison","WI","Madison WI","",-89.404190,43.057130,0,31540,1,
"","Madison","WI","Madison WI","",-89.406260,43.073560,0,31540,1,
"","Madison","WI","Madison WI","",-89.407720,43.072040,0,31540,1,
"","Madison","WI","Madison WI","",-89.373890,43.047240,0,31540,1,
"","Madison","WI","Madison WI","",-89.364560,43.083360,0,31540,1,
"","Madison","WI","Madison WI","",-89.414030,43.067540,0,31540,1,
"","Madison","WI","Madison WI","",-89.335930,43.091990,0,31540,1,
"","Madison","WI","Madison WI","",-89.430130,43.077320,0,31540,1,
"","Madison","WI","Madison WI","",-89.420160,43.076670,0,31540,1,
"","Madison","WI","Madison WI","",-89.383630,43.077320,0,31540,1,
"","Madison","WI","Madison WI","",-89.366120,43.092260,0,31540,1,
"","Madison","WI","Madison WI","",-89.388880,43.065090,0,31540,1,
"","Madison","WI","Madison WI","",-89.401270,43.069620,0,31540,1,
"","Madison","WI","Madison WI","",-89.397270,43.072980,0,31540,1,
"","Madison","WI","Madison WI","",-89.428760,43.057120,0,31540,1,
"","Madison","WI","Madison WI","",-89.417610,43.064790,0,31540,1,
"","Madison","WI","Madison WI","",-89.400670,43.077020,0,31540,1,
"","Madison","WI","Madison WI","",-89.387570,43.078620,0,31540,1,
"","Madison","WI","Madison WI","",-89.397000,43.075760,0,31540,1,
"","Madison","WI","Madison WI","",-89.375520,43.075540,0,31540,1,
"","Madison","WI","Madison WI","",-89.452620,43.074320,0,31540,1,
"","Madison","WI","Madison WI","",-89.396560,43.074670,0,31540,1,
"","Madison","WI","Madison WI","",-89.351380,43.092450,0,31540,1,
